state_name,year,ECO_prop_hh_microfin,OUT_hh_income_monthly,OUT_prop_saving,ACC_pop_hh_elec,SKL_fem_literacy,SRV_pop_hh_sf,AGR_fem_15_24_hyg_period,NAT_upi_total_vol,NAT_upi_total_val,NAT_upi_p2p_vol,NAT_upi_p2m_vol,NAT_ib_no_of_transactions,NAT_ib_amt_of_transactions,NAT_ib_active_users,AGR_shg_member_scale,Z_ACC_pop_hh_elec,Z_SKL_fem_literacy,Z_SRV_pop_hh_sf,Z_AGR_fem_15_24_hyg_period,Z_AGR_shg_member_scale,Z_ECO_prop_hh_microfin,Z_OUT_hh_income_monthly,Z_OUT_prop_saving,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,CTX_dpi_composite_v2,CTX_dpi_confidence_score,CTX_coverage_ratio,CTX_imputation_share,Z_CTX_dpi_composite_v2,DCLO_score_context_adjusted
Andaman And Nicobar Islands,2014,,,,97.03333333333335,0.0,73.4,91.0,,,,,,,,,0.2534371522182349,-1.0130918905549062,0.36579872879160713,0.9403773037158498,,,,,0.2534371522182349,-1.0130918905549062,0.36579872879160713,0.9403773037158498,,,0.13663032354269639,3.8577679934065,72.0,0.6,0,-0.4688173462696442,0.06630772160224975
Andhra Pradesh,2014,,,,99.17692307692307,0.0,53.13076923076923,67.67692307692307,,,,,,,,8926813.0,0.5582712148687508,-1.0130918905549062,-0.6901425443319562,-0.37777672783637956,1.7923958732025993,,,,0.5582712148687508,-1.0130918905549062,-0.6901425443319562,0.7073095726831099,,,-0.10941341183375045,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.17973601377419707
Arunachal Pradesh,2014,,,,87.08181818181818,0.0,60.91818181818182,75.57272727272726,,,,,,,,65182.0,-1.1617407297604445,-1.0130918905549062,-0.2844512551305071,0.0684716881583496,-0.8365094114988407,,,,-1.1617407297604445,-1.0130918905549062,-0.2844512551305071,-0.38401886167024557,,,-0.7108256842790258,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.7811482862194724
Assam,2014,,,,77.5142857142857,0.0,48.647619047619045,46.438095238095244,,,,,,,,3675547.0,-2.5223134794390054,-1.0130918905549062,-0.9236957248101219,-1.5781349238638536,0.2345471048694344,,,,-2.5223134794390054,-1.0130918905549062,-0.9236957248101219,-0.6717939094972096,,,-1.2827237510753107,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-1.3530463530157573
Bihar,2014,,,,60.731578947368426,0.0,25.98157894736842,29.986842105263158,,,,,,,,12192290.0,-4.908936526750461,-1.0130918905549062,-2.1045006360878027,-2.5079130021444445,2.761137377150462,,,,-4.908936526750461,-1.0130918905549062,-2.1045006360878027,0.12661218750300884,,,-1.9749792164725402,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-2.045301818412987
Chhattisgarh,2014,,,,93.72500000000001,0.0,30.416666666666668,44.475,,,,,,,,2782646.0,-0.2170319259334772,-1.0130918905549062,-1.8734513068828837,-1.6890834882814358,-0.03034229953199017,,,,-0.2170319259334772,-1.0130918905549062,-1.8734513068828837,-0.859712893906713,,,-0.9908220043194951,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-1.0611446062599417
Goa,2014,,,,99.85,0.0,78.19999999999999,89.1,,,,,,,,46186.0,0.653987652004828,-1.0130918905549062,0.6158584458424994,0.8329947028605063,-0.8421447945099578,,,,0.653987652004828,-1.0130918905549062,0.6158584458424994,-0.0045750458247257875,,,0.06304479036692384,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.007277811573522794
Gujarat,2014,,,,94.58125,0.0,55.65625,55.7375,,,,,,,,2660899.0,-0.09526694411965422,-1.0130918905549062,-0.5585756679629317,-1.052558992421803,-0.06645995458855326,,,,-0.09526694411965422,-1.0130918905549062,-0.5585756679629317,-0.5595094735051782,,,-0.5566109940356676,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.6269335959761142
Haryana,2014,,,,98.825,0.0,80.625,78.88,,,,,,,,580325.0,0.5082251920233166,-1.0130918905549062,0.7421906987275866,0.25538934457544965,-0.6836862850250625,,,,0.5082251920233166,-1.0130918905549062,0.7421906987275866,-0.2141484702248064,,,0.005793882492797643,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.06452871944764899
Himachal Pradesh,2014,,,,99.32000000000001,0.0,71.62,83.97,,,,,,,,330554.0,0.5786177946485356,-1.0130918905549062,0.2730682503852342,0.5430616805510798,-0.7577837397560441,,,,0.5786177946485356,-1.0130918905549062,0.2730682503852342,-0.10736102960248212,,,-0.06719171878090464,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.13751432072135128
