economy,year,social_foundation_score,ecological_ceiling_score,social_dimension_coverage,ecological_dimension_coverage,doughnut_score,green_transition_actions_score,green_expected_2030_path,green_distance_to_target
China,1970,,90.66197483982243,,0.16666666666666666,9.338025160177565,90.66197483982243,90.66197483982243,0.0
China,1971,,90.6250729484282,,0.16666666666666666,9.374927051571802,90.6250729484282,90.48427525915872,0.14079768926947622
China,1972,,89.97601304836112,,0.16666666666666666,10.023986951638875,89.97601304836112,90.30657567849502,-0.33056263013389753
China,1973,,89.54948192062608,,0.16666666666666666,10.450518079373921,89.54948192062608,90.12887609783131,-0.5793941772052307
China,1974,,89.36119341566015,,0.16666666666666666,10.638806584339846,89.36119341566015,89.95117651716761,-0.5899831015074568
China,1975,,87.73679415598987,,0.16666666666666666,12.26320584401013,87.73679415598987,89.7734769365039,-2.0366827805140275
China,1976,,87.22146563796278,,0.16666666666666666,12.77853436203722,87.22146563796278,89.5957773558402,-2.3743117178774185
China,1977,,85.58089367390366,,0.16666666666666666,14.41910632609634,85.58089367390366,89.41807777517649,-3.8371841012728254
China,1978,,83.69350600300156,,0.16666666666666666,16.30649399699844,83.69350600300156,89.24037819451277,-5.546872191511213
China,1979,,83.28650181508945,,0.16666666666666666,16.71349818491055,83.28650181508945,89.06267861384907,-5.7761767987596215
China,1980,,83.65278664876345,,0.16666666666666666,16.347213351236547,83.65278664876345,88.88497903318536,-5.232192384421907
China,1981,,83.80421687406684,,0.16666666666666666,16.19578312593316,83.80421687406684,88.70727945252166,-4.903062578454822
China,1982,,83.0507475922313,,0.16666666666666666,16.949252407768697,83.0507475922313,88.52957987185795,-5.478832279626644
China,1983,,82.14136200504842,,0.16666666666666666,17.85863799495158,82.14136200504842,88.35188029119423,-6.210518286145813
China,1984,,80.50024070788955,,0.16666666666666666,19.499759292110454,80.50024070788955,88.17418071053054,-7.67394000264099
China,1985,,80.2864217995852,,0.16666666666666666,19.7135782004148,80.2864217995852,87.99648112986682,-7.710059330281624
China,1986,,79.03897492590171,,0.16666666666666666,20.961025074098288,79.03897492590171,87.81878154920312,-8.779806623301411
China,1987,,77.55239855328335,,0.16666666666666666,22.447601446716646,77.55239855328335,87.64108196853941,-10.088683415256057
China,1988,,75.83234029488374,,0.16666666666666666,24.167659705116264,75.83234029488374,87.4633823878757,-11.631042092991962
China,1989,,74.98991066758448,,0.16666666666666666,25.010089332415518,74.98991066758448,87.285682807212,-12.295772139627516
China,1990,,74.53726581217457,,0.16666666666666666,25.462734187825433,74.53726581217457,87.10798322654828,-12.570717414373718
China,1991,,73.07882624960921,,0.16666666666666666,26.921173750390793,73.07882624960921,86.93028364588459,-13.851457396275379
China,1992,,71.7956343766677,,0.16666666666666666,28.204365623332293,71.7956343766677,86.75258406522087,-14.956949688553166
China,1993,,69.43082470752363,,0.16666666666666666,30.569175292476373,69.43082470752363,86.57488448455717,-17.144059777033547
China,1994,,44.65314447045792,,0.16666666666666666,55.34685552954208,44.65314447045792,86.39718490389346,-41.74404043343554
China,1995,,64.32772590265068,,0.16666666666666666,35.672274097349316,64.32772590265068,86.21948532322975,-21.891759420579064
China,1996,,64.60153851285261,,0.16666666666666666,35.39846148714739,64.60153851285261,86.04178574256605,-21.440247229713435
China,1997,,63.56005761633372,,0.16666666666666666,36.43994238366628,63.56005761633372,85.86408616190234,-22.304028545568613
China,1998,,62.65108059775712,,0.16666666666666666,37.34891940224288,62.65108059775712,85.68638658123864,-23.035305983481514
China,1999,,63.44791362485029,,0.16666666666666666,36.55208637514971,63.44791362485029,85.50868700057492,-22.060773375724636
China,2000,,61.30078124094865,,0.16666666666666666,38.69921875905135,61.30078124094865,85.33098741991122,-24.030206178962572
China,2001,,59.3996412279498,,0.16666666666666666,40.6003587720502,59.3996412279498,85.15328783924751,-25.75364661129771
China,2002,,56.09465319488421,,0.16666666666666666,43.90534680511579,56.09465319488421,84.9755882585838,-28.88093506369959
China,2003,,49.2271036700296,,0.16666666666666666,50.7728963299704,49.2271036700296,84.7978886779201,-35.5707850078905
China,2004,,41.46769473792618,,0.16666666666666666,58.53230526207382,41.46769473792618,84.62018909725639,-43.152494359330205
China,2005,,6.706743400606072,,0.16666666666666666,93.29325659939393,6.706743400606072,84.44248951659269,-77.73574611598661
China,2006,,26.16021065406463,,0.16666666666666666,73.83978934593537,26.16021065406463,84.26478993592897,-58.104579281864346
China,2007,,19.73158153477686,,0.16666666666666666,80.26841846522314,19.73158153477686,84.08709035526526,-64.3555088204884
China,2008,,17.261325627119128,,0.16666666666666666,82.73867437288087,17.261325627119128,83.90939077460156,-66.64806514748244
China,2009,,11.178083724479569,,0.16666666666666666,88.82191627552044,11.178083724479569,83.73169119393785,-72.55360746945829
China,2010,,0.5470623197570191,,0.16666666666666666,99.45293768024298,0.5470623197570191,83.55399161327415,-83.00692929351713
China,2011,,0.0,,0.16666666666666666,100.0,0.0,83.37629203261044,-83.37629203261044
China,2012,,0.0,,0.16666666666666666,100.0,0.0,83.19859245194674,-83.19859245194674
China,2013,,0.0,,0.16666666666666666,100.0,0.0,83.02089287128302,-83.02089287128302
China,2014,,0.0,,0.16666666666666666,100.0,0.0,82.84319329061931,-82.84319329061931
China,2015,43.58514068746532,47.19344367070511,0.9,1.0,47.974797413151,37.15039359168424,82.66549370995561,-45.51510011827137
China,2016,45.793014758717476,48.41889840407338,0.9,1.0,48.600968577315136,39.18411475381612,82.4877941292919,-43.30367937547578
China,2017,48.40715240652897,48.632892417563966,0.9,1.0,49.86517226908527,40.64351291526062,82.3100945486282,-41.66658163336758
China,2018,51.17722858206886,51.05156680753263,0.9,1.0,50.05042611432023,42.917993007448494,82.13239496796449,-39.21440196051599
China,2019,52.72061723537277,52.678126501536404,0.9,1.0,49.94835712586782,44.60732457817505,81.95469538730077,-37.34737080912572
China,2020,53.53651278580755,54.62937355064707,0.9,1.0,49.284735192611926,46.54076170515752,81.77699580663707,-35.23623410147955
China,2021,57.9115566459969,55.04220300178905,0.9,0.8333333333333334,51.025248725911396,45.36411878602837,81.59929622597336,-36.23517743994499
China,2022,57.450184802898775,52.79286453010756,0.9,0.8333333333333334,52.077429436952805,49.894769831186,81.42159664530966,-31.526826814123666
China,2023,60.28707514381954,50.252760762715816,0.9,0.6666666666666666,54.764181269290596,47.59919299825551,81.24389706464595,-33.64470406639044
China,2024,72.21313322738999,50.0,0.5,0.3333333333333333,60.08873988834764,0.0,81.06619748398225,-81.06619748398225
China,2025,75.45620360351862,,0.2,,75.45620360351862,,,
India,1970,,98.15905002636026,,0.16666666666666666,1.840949973639738,98.15905002636026,98.15905002636026,0.0
India,1971,,98.15375392575666,,0.16666666666666666,1.8462460742433393,98.15375392575666,97.85639919258759,0.29735473316907246
India,1972,,98.06684755756307,,0.16666666666666666,1.9331524424369348,98.06684755756307,97.55374835881491,0.5130991987481508
India,1973,,98.0812525443847,,0.16666666666666666,1.9187474556153035,98.0812525443847,97.25109752504225,0.8301550193424418
India,1974,,97.91162876275784,,0.16666666666666666,2.088371237242157,97.91162876275784,96.94844669126958,0.9631820714882622
India,1975,,97.74752517090816,,0.16666666666666666,2.252474829091838,97.74752517090816,96.6457958574969,1.101729313411255
India,1976,,97.56102195005272,,0.16666666666666666,2.4389780499472806,97.56102195005272,96.34314502372423,1.2178769263284863
India,1977,,97.50635090728375,,0.16666666666666666,2.493649092716254,97.50635090728375,96.04049418995156,1.465856717332187
India,1978,,97.56492464814883,,0.16666666666666666,2.435075351851168,97.56492464814883,95.7378433561789,1.8270812919699324
India,1979,,97.34969353618821,,0.16666666666666666,2.6503064638117877,97.34969353618821,95.43519252240623,1.9145010137819867
India,1980,,97.18503355965406,,0.16666666666666666,2.814966440345941,97.18503355965406,95.13254168863355,2.052491871020507
India,1981,,96.85871534084761,,0.16666666666666666,3.14128465915239,96.85871534084761,94.82989085486088,2.028824485986732
India,1982,,96.66648634655684,,0.16666666666666666,3.3335136534431626,96.66648634655684,94.5272400210882,2.1392463254686334
India,1983,,96.42298658082704,,0.16666666666666666,3.577013419172957,96.42298658082704,94.22458918731554,2.198397393511499
India,1984,,96.01241223495272,,0.16666666666666666,3.98758776504728,96.01241223495272,93.92193835354287,2.0904738814098494
India,1985,,95.81337279355026,,0.16666666666666666,4.186627206449742,95.81337279355026,93.6192875197702,2.194085273780061
India,1986,,95.41436812582211,,0.16666666666666666,4.585631874177892,95.41436812582211,93.31663668599752,2.097731439824585
India,1987,,95.06203954780176,,0.16666666666666666,4.93796045219824,95.06203954780176,93.01398585222485,2.048053695576911
