economy,year,dpi_score,yoy_change,yoy_pct_change,trend_slope
Argentina,2014,1.151448400798598,,,2.3289872186443006
Argentina,2015,1.511302890704799,0.35985448990620106,31.2523331185853,2.3289872186443006
Argentina,2016,1.8852578897810695,0.3739549990762705,24.743881678270057,2.3289872186443006
Argentina,2017,2.241213536929512,0.35595564714844263,18.881005568409474,2.3289872186443006
Argentina,2018,2.8173587741444472,0.5761452372149352,25.70684264223482,2.3289872186443006
Argentina,2019,1.8302761467669604,-0.9870826273774869,-35.035744699474286,2.3289872186443006
Argentina,2020,35.7492210399713,33.91894489320434,1853.2146066111118,2.3289872186443006
Argentina,2021,1.3059315336767645,-34.44328950629454,-96.3469650647308,2.3289872186443006
Argentina,2022,28.64029535064135,27.334363816964583,2093.093176179495,2.3289872186443006
Argentina,2023,2.0495267839868734,-26.590768566654475,-92.84390485888974,2.3289872186443006
Argentina,2024,1.6361969940238883,-0.4133297899629851,-20.167084089476937,2.3289872186443006
Argentina,2025,46.827479591943586,45.191282597919695,2761.9707628713504,2.3289872186443006
Australia,2014,36.45462523046806,,,3.039572040073273
Australia,2015,30.866983372181583,-5.587641858286478,-15.327662328061562,3.039572040073273
Australia,2016,33.29605557423643,2.4290722020548507,7.869483625160521,3.039572040073273
Australia,2017,36.11144876998973,2.8153931957532947,8.455635801892907,3.039572040073273
Australia,2018,35.45178518827562,-0.6596635817141063,-1.8267436067597405,3.039572040073273
Australia,2019,34.947180366792054,-0.5046048214835679,-1.4233551817030852,3.039572040073273
Australia,2020,48.94179390679621,13.994613540004153,40.04504338582431,3.039572040073273
Australia,2021,25.537648100428342,-23.404145806367865,-47.82036770237369,3.039572040073273
Australia,2022,48.216577912237554,22.678929811809212,88.8058670188537,3.039572040073273
Australia,2023,38.58106324174737,-9.635514670490181,-19.983821099930548,3.039572040073273
Australia,2024,40.9766356643535,2.3955724226061292,6.209192337690566,3.039572040073273
Australia,2025,99.77806442784339,58.80142876348989,143.49989404972692,3.039572040073273
Austria,2014,29.288981983688796,,,4.242106784136011
Austria,2015,25.45462192880359,-3.834360054885206,-13.091476026789127,4.242106784136011
Austria,2016,27.25070354164558,1.7960816128419914,7.056013708887996,4.242106784136011
Austria,2017,31.841095691905792,4.590392150260211,16.845040874797952,4.242106784136011
Austria,2018,34.510173669409326,2.669077977503534,8.382494130633923,4.242106784136011
Austria,2019,38.54338119918017,4.033207529770841,11.687010237638926,4.242106784136011
Austria,2020,65.88255824236576,27.339177043185593,70.93092560277796,4.242106784136011
Austria,2021,35.734913960622116,-30.147644281743645,-45.75967461803451,4.242106784136011
Austria,2022,64.34245592375322,28.607541963131105,80.05487852763554,4.242106784136011
Austria,2023,43.96464814135306,-20.37780778240016,-31.670857895987325,4.242106784136011
Austria,2024,51.02237937584533,7.057731234492273,16.05319622211143,4.242106784136011
Austria,2025,90.43579216237069,39.413412786525356,77.24730455276296,4.242106784136011
Bangladesh,2014,,,,7.009736326923305
Bangladesh,2015,,,,7.009736326923305
Bangladesh,2016,,,,7.009736326923305
Bangladesh,2017,,,,7.009736326923305
Bangladesh,2018,,,,7.009736326923305
Bangladesh,2019,,,,7.009736326923305
Bangladesh,2020,22.2736325151892,,,7.009736326923305
Bangladesh,2021,0.12281250952935,-22.15082000565985,-99.44861930605347,7.009736326923305
Bangladesh,2022,40.552021002748944,40.42920849321959,32919.454742969596,7.009736326923305
Bangladesh,2023,0.0008641372546235002,-40.55115686549432,-99.99786906488688,7.009736326923305
Bangladesh,2024,0.22760739768937457,0.22674326043475107,26239.26456376908,7.009736326923305
Bangladesh,2025,79.389141243836,79.16153384614663,34779.859815532756,7.009736326923305
Belgium,2014,37.09595645011129,,,3.059646838049034
Belgium,2015,31.786312623649458,-5.30964382646183,-14.313268438306842,3.059646838049034
Belgium,2016,32.71793225793007,0.9316196342806151,2.930883003986682,3.059646838049034
Belgium,2017,31.624308763104146,-1.093623494825927,-3.342581328808937,3.059646838049034
Belgium,2018,36.237437235214344,4.613128472110198,14.587286339337483,3.059646838049034
Belgium,2019,35.34475564344161,-0.8926815917727353,-2.4634236300387626,3.059646838049034
Belgium,2020,54.59008923047688,19.24533358703527,54.450322931023955,3.059646838049034
Belgium,2021,45.36027583283925,-9.229813397637628,-16.907489120726247,3.059646838049034
Belgium,2022,53.23315700156819,7.872881168728938,17.356334422969375,3.059646838049034
Belgium,2023,54.69615534483117,1.4629983432629814,2.7482840125748753,3.059646838049034
Belgium,2024,56.44293187749659,1.7467765326654217,3.1936002112998483,3.059646838049034
Belgium,2025,68.42720828800655,11.984276410509963,21.232554744889168,3.059646838049034
Brazil,2014,6.573863034762601,,,5.566876488642301
Brazil,2015,4.8037152033225405,-1.7701478314400605,-26.927056771330875,5.566876488642301
Brazil,2016,7.949510401304887,3.1457951979823466,65.48671319662174,5.566876488642301
Brazil,2017,6.335101545695846,-1.6144088556090415,-20.30828031049612,5.566876488642301
Brazil,2018,8.563908957590044,2.2288074118941985,35.181873499857005,5.566876488642301
Brazil,2019,8.280621736777363,-0.28328722081268154,-3.307919575226322,5.566876488642301
Brazil,2020,53.48107864944381,45.200456912666446,545.8582501349407,5.566876488642301
Brazil,2021,11.293243026262191,-42.18783562318162,-78.88366631442345,5.566876488642301
Brazil,2022,63.796547849628205,52.503304823366015,464.9090141890219,5.566876488642301
Brazil,2023,18.814441812749997,-44.98210603687821,-70.5086835464881,5.566876488642301
Brazil,2024,21.213599493947065,2.3991576811970674,12.751681421509026,5.566876488642301
Brazil,2025,100.00000000000004,78.78640050605298,371.39571965867145,5.566876488642301
Canada,2014,38.461068192063735,,,3.0674274849780123
Canada,2015,34.54910063338424,-3.9119675586794926,-10.171240016382876,3.0674274849780123
Canada,2016,34.49581953776738,-0.05328109561686034,-0.1542184735349541,3.0674274849780123
Canada,2017,39.7762972093106,5.280477671543217,15.307587244773071,3.0674274849780123
Canada,2018,42.29389659098416,2.5175993816735627,6.329396043139626,3.0674274849780123
