economy,year,dpi_adoption_v2,dpi_impact_v2,dpi_readiness_v2,dpi_composite_v2,dpi_utilization_efficiency,equity_score,inclusion_penalty,dpi_inclusion_adjusted_v2,risk_score,risk_factor,dpi_risk_adjusted_v2,expected_indicator_points_year,observed_indicator_points,imputed_indicator_points,coverage_ratio,imputation_share,dpi_confidence_score,confidence_tier,rank_v2
Argentina,2025,63.14799551976491,,34.63928939011994,43.38758198818664,182.30164830626236,,0.0,43.38758198818664,43.67018798520645,0.8310105639556193,36.05553897667365,8,5,0.0,0.625,0.0,73.75,Medium,40.0
Australia,2025,99.70441427311245,,100.0,99.88905280036737,99.70441427311245,,0.0,99.88905280036737,99.70441427311245,0.9991132428193372,99.80047546552704,8,5,0.0,0.625,0.0,73.75,Medium,3.0
Austria,2025,92.67915325103858,,90.03250076100676,91.01602038099551,102.93966341894404,,0.0,91.01602038099551,89.4153557000307,0.9682460671000921,88.12590377700073,8,5,0.0,0.625,0.0,73.75,Medium,6.0
Bangladesh,2025,82.49991781308434,,77.81897654439683,79.54236786787966,106.0151668353245,,0.0,79.54236786787966,80.61805968501669,0.94185417905505,74.91731158829658,8,5,0.0,0.625,0.0,73.75,Medium,19.0
Belgium,2025,74.59709775884768,,66.2023863308275,69.2335740707749,112.68037587960957,,0.0,69.2335740707749,64.32425126428983,0.8929727537928694,61.82369529290247,8,5,0.0,0.625,0.0,73.75,Medium,27.0
Brazil,2025,100.0,,100.0,100.00000000000004,100.0,,0.0,100.00000000000004,100.0,1.0,100.00000000000004,8,5,0.0,0.625,0.0,73.75,Medium,1.0
Canada,2025,96.26796417080925,,88.76384087457062,91.50676964659004,108.45403175696562,,0.0,91.50676964659004,91.24176080620639,0.9737252824186191,89.1024551173414,8,5,0.0,0.625,0.0,73.75,Medium,5.0
Chile,2025,74.66294992987532,,82.10436050322636,79.23066819477492,90.93664389108953,,0.0,79.23066819477492,76.8609418648162,0.9305828255944486,73.73069908242985,8,5,0.0,0.625,0.0,73.75,Medium,20.0
China,2025,30.941742901932304,75.45620360351862,21.088486591930156,30.52988223591113,146.7233922503128,,0.0,30.52988223591113,23.02950056968861,0.7690885017090658,23.480181386171118,8,7,0.0,0.875,0.0,91.24999999999999,High,43.0
Colombia,2025,59.10675801024758,,69.22792492699793,65.24387521583375,85.37993601942671,,0.0,65.24387521583375,73.17135057211898,0.9195140517163569,59.992660049387695,8,5,0.0,0.625,0.0,73.75,Medium,32.0
Czech Republic,2025,76.49838773793611,,77.19442346821047,76.9326709970273,99.09833418140495,,0.0,76.9326709970273,77.68285260853081,0.9330485578255924,71.78191772344711,8,5,0.0,0.625,0.0,73.75,Medium,21.0
Denmark,2025,92.56916877123058,,88.01238284772559,89.69428010309241,105.17743728332967,,0.0,89.69428010309241,87.31195050083414,0.9619358515025024,86.28014370587215,8,5,0.0,0.625,0.0,73.75,Medium,8.0
Egypt,2025,90.7530335017995,,79.16982646991272,83.32930115826375,114.63083544371389,,0.0,83.32930115826375,83.01817281722712,0.9490545184516813,79.08404978367113,8,5,0.0,0.625,0.0,73.75,Medium,15.0
Finland,2025,80.74324239520529,,54.10638479808679,62.87024351803977,149.23052555908407,,0.0,62.87024351803977,60.01580098250927,0.8800474029475278,55.328794530729546,8,5,0.0,0.625,0.0,73.75,Medium,34.0
France,2025,65.40321102334006,,66.94247517070411,66.36105097767108,97.70061662130223,,0.0,66.36105097767108,65.50046204881869,0.896501386146456,59.492774187617755,8,5,0.0,0.625,0.0,73.75,Medium,31.0
Germany,2025,56.126372258975884,,50.655880967157614,52.64186717814779,110.79932119898383,,0.0,52.64186717814779,50.974507555798205,0.8529235226673946,44.89948679337491,8,5,0.0,0.625,0.0,73.75,Medium,38.0
Greece,2025,79.35158344025653,,82.93552371421853,81.57295944593564,95.67864274142448,,0.0,81.57295944593564,78.42176910859367,0.935265307325781,76.29235898567646,8,5,0.0,0.625,0.0,73.75,Medium,17.0
India,2025,90.22968931653202,52.81020830199966,99.62176744968741,85.1776268544436,90.57226309712009,,0.0,85.1776268544436,98.36318242903347,0.9950895472871004,84.75936614557786,8,8,0.0,1.0,0.0,100.0,High,13.0
Indonesia,2025,73.67993317946257,,65.85712265275399,68.68828590604109,111.87845780623617,,0.0,68.68828590604109,68.08975986256691,0.9042692795877006,62.11270681236979,8,5,0.0,0.625,0.0,73.75,Medium,29.0
Iraq,2025,6.900742899104415,,0.0,0.00036693229963031274,200.0,,0.0,0.00036693229963031274,6.900742899104415,0.7207022286973132,0.0002644489261245967,8,5,0.0,0.625,0.0,73.75,Medium,48.0
Ireland,2025,84.97451740900702,,81.8408791299328,83.00221721798974,103.82894014872343,,0.0,83.00221721798974,82.4158552424187,0.9472475657272561,78.62364820970572,8,5,0.0,0.625,0.0,73.75,Medium,16.0
Israel,2025,21.638973777227324,,26.44338417629988,24.5279862668779,81.83133305842695,,0.0,24.5279862668779,22.11120752429028,0.7663336225728707,18.796620570314165,8,5,0.0,0.625,0.0,73.75,Medium,44.0
Italy,2025,70.32102463667013,,79.5269834519558,75.9413852281244,88.42410661678471,,0.0,75.9413852281244,74.13676138728329,0.9224102841618498,70.04911472791873,8,5,0.0,0.625,0.0,73.75,Medium,23.0
Japan,2025,80.61447101175024,,92.55229394041392,87.88138045929622,87.10153749797993,,0.0,87.88138045929622,83.95755728006576,0.9518726718401972,83.65188442279519,8,5,0.0,0.625,0.0,73.75,Medium,10.0
Malaysia,2025,75.26938287603788,,73.63184627205177,74.24170543415416,102.2239515738011,,0.0,74.24170543415416,70.98180301171595,0.9129454090351478,67.77862413505082,8,5,0.0,0.625,0.0,73.75,Medium,24.0
